title,original_title,popularity,vote_average,vote_count,release_date
Breaking the Waves,Breaking the Waves,17.629,7.5,967,1996-07-05
Pretty Woman,Pretty Woman,61.967,7.5,8191,1990-03-23
Mirage,Durante la tormenta,26.586,7.5,1784,2018-11-30
Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),48.991,7.5,12745,2014-10-17
Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,34.807,7.5,1093,1993-12-25
"Aguirre, the Wrath of God","Aguirre, der Zorn Gottes",17.28,7.5,1084,1972-12-29
This Is England,This Is England,5.368,7.465,1246,2007-04-27
The Devil's Advocate,The Devil's Advocate,46.49,7.5,5948,1997-10-17
Incredibles 2,Incredibles 2,74.12,7.464,12793,2018-06-14
To Have and Have Not,To Have and Have Not,12.536,7.5,508,1945-01-20
Sorry If I Call You Love,Perdona si te llamo amor,23.281,7.5,458,2014-06-20
The Incredible Shrinking Man,The Incredible Shrinking Man,15.319,7.5,488,1957-02-22
Glory,Glory,25.293,7.5,1593,1989-12-15
Man on Fire,Man on Fire,50.153,7.464,5074,2004-04-23
The Big Blue,Le Grand Bleu,19.6,7.5,1423,1988-05-10
The Red Turtle,La tortue rouge,17.877,7.462,1253,2016-03-27
The Seventh Continent,Der siebente Kontinent,11.864,7.5,304,1989-10-20
Barbie as The Princess & the Pauper,Barbie as The Princess & the Pauper,45.369,7.5,1463,2004-09-28
That Man from Rio,L'Homme de Rio,14.531,7.5,305,1964-02-05
Adam's Apples,Adams æbler,11.723,7.5,676,2005-04-15
A Grand Day Out,A Grand Day Out,21.738,7.5,863,1990-05-18
Kal Ho Naa Ho,कल हो ना हो,16.656,7.5,381,2003-11-27
The Man Who Knew Too Much,The Man Who Knew Too Much,17.062,7.5,1373,1956-05-16
"Batman: The Long Halloween, Part One","Batman: The Long Halloween, Part One",18.907,7.5,618,2021-06-21
The Dirt,The Dirt,20.198,7.46,1211,2019-03-22
Kung Fury,Kung Fury,12.259,7.5,1805,2015-05-22
Sympathy for Mr. Vengeance,복수는 나의 것,17.948,7.5,1438,2002-03-29
Boruto: Naruto the Movie,BORUTO -NARUTO THE MOVIE-,45.927,7.5,1555,2015-08-07
Paddington 2,Paddington 2,36.324,7.5,2333,2017-11-09
Dirty Harry,Dirty Harry,23.707,7.5,2419,1971-12-23
Swept Away,Travolti da un insolito destino nell'azzurro mare d'agosto,9.559,7.458,301,1974-12-18
The Rocky Horror Picture Show,The Rocky Horror Picture Show,27.522,7.5,2783,1975-08-14
Black Book,Zwartboek,17.024,7.5,1132,2006-09-14
Barton Fink,Barton Fink,14.787,7.5,1652,1991-08-01
Sin City,Sin City,40.356,7.5,8071,2005-04-01
Three Colors: White,Trois couleurs : Blanc,16.417,7.5,1171,1994-01-26
The Banshees of Inisherin,The Banshees of Inisherin,31.307,7.457,2713,2022-10-20
Ip Man 2,葉問2,3.273,7.5,2247,2010-04-29
A Pure Formality,Una pura formalità,13.823,7.457,348,1994-05-15
C.R.A.Z.Y.,C.R.A.Z.Y.,11.596,7.5,455,2005-05-27
The Thin Red Line,The Thin Red Line,33.78,7.5,2973,1998-12-23
The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,14.325,7.5,511,1974-10-02
Kuch Kuch Hota Hai,कुछ कुछ होता है,16.203,7.5,379,1998-10-16
The Adventures of Robin Hood,The Adventures of Robin Hood,20.271,7.5,733,1938-05-13
Miller's Crossing,Miller's Crossing,21.744,7.5,1622,1990-09-21
Cold War,Zimna wojna,13.556,7.5,1454,2018-06-08
Dunkirk,Dunkirk,43.89,7.455,16386,2017-07-19
Phantom of the Paradise,Phantom of the Paradise,19.483,7.5,655,1974-10-31
In Cold Blood,In Cold Blood,15.666,7.5,364,1967-12-15
Ordinary People,Ordinary People,13.684,7.455,619,1980-09-19
Killers of the Flower Moon,Killers of the Flower Moon,84.355,7.5,3257,2023-10-18
The Artist,The Artist,14.163,7.5,3226,2011-10-12
About Elly,درباره الی‎‎,12.201,7.454,480,2009-06-06
Scarface,Scarface,26.466,7.5,591,1932-04-09
Mixed by Erry,Mixed by Erry,10.098,7.453,432,2023-03-02
The Swimmers,The Swimmers,14.758,7.5,529,2022-11-24
The Flowers of War,金陵十三釵,17.72,7.5,788,2011-12-15
Summer Wars,サマーウォーズ,16.1,7.452,919,2009-08-01
The Day the Earth Stood Still,The Day the Earth Stood Still,23.803,7.452,1097,1951-09-28
Mulan: Rise of a Warrior,花木兰,18.419,7.5,420,2009-11-26
Kung Fu Hustle,功夫,41.323,7.45,2774,2004-02-10
The Insider,The Insider,14.955,7.5,1792,1999-10-28
Baby Driver,Baby Driver,61.877,7.45,15620,2017-06-28
One Piece Film: Strong World,ワンピース フィルム ストロングワールド,25.576,7.5,348,2009-12-12
Black Sunday,La maschera del demonio,17.457,7.45,524,1960-08-11
Head-On,Gegen die Wand,15.608,7.5,545,2004-03-11
Bullet Train,Bullet Train,72.092,7.45,6155,2022-08-03
Open Your Eyes,Abre los ojos,16.663,7.4,1028,1997-12-19
Crush,Crush,21.73,7.4,421,2022-04-29
Sisu,Sisu,58.838,7.448,2086,2022-09-09
John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,74.985,7.4,10563,2019-05-15
Patients,Patients,6.464,7.4,606,2017-03-01
Breathe,Breathe,21.871,7.4,741,2017-10-13
Thesis,Tesis,17.395,7.4,813,1996-04-11
Bram Stoker's Dracula,Bram Stoker's Dracula,53.923,7.4,5081,1992-11-13
Apollo 13,Apollo 13,32.596,7.4,5358,1995-06-30
Extraction 2,Extraction 2,92.001,7.446,2419,2023-06-09
Lifted,Lifted,8.372,7.4,750,2006-12-28
Miracles from Heaven,Miracles from Heaven,41.637,7.4,1180,2016-03-17
District 9,District 9,50.457,7.446,9408,2009-08-05
Ray,Ray,32.867,7.4,1959,2004-10-29
The Wolf and the Lion,Le Loup et le Lion,21.491,7.4,391,2021-10-13
"McFarland, USA","McFarland, USA",16.626,7.445,814,2015-02-20
Cell 211,Celda 211,22.009,7.4,1232,2009-11-06
Ocean's Eleven,Ocean's Eleven,59.634,7.445,11522,2001-12-07
Missing,Missing,25.365,7.4,1007,2023-01-19
Leto,Лето,8.04,7.4,306,2018-06-07
Captain America: Civil War,Captain America: Civil War,102.037,7.445,22607,2016-04-27
The Lady Vanishes,The Lady Vanishes,14.516,7.4,908,1938-10-07
Fabrizio De André: Principe libero,Fabrizio De André: Principe libero,4.608,7.4,343,2018-01-23
Lone Survivor,Lone Survivor,43.195,7.4,4267,2013-12-24
A Night at the Opera,A Night at the Opera,9.207,7.4,480,1935-11-15
The Innocents,The Innocents,13.672,7.4,583,1961-12-15
The Right Stuff,The Right Stuff,15.839,7.443,856,1983-10-20
Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,20.117,7.442,1901,1982-06-04
The Unforgivable,The Unforgivable,22.733,7.4,1801,2021-11-24
Wind River,Wind River,41.769,7.4,5165,2017-08-03
Miss Sloane,Miss Sloane,19.654,7.4,1785,2016-11-25
The Last: Naruto the Movie,THE LAST -NARUTO THE MOVIE-,71.919,7.4,2213,2014-12-06
That Obscure Object of Desire,Cet obscur objet du désir,23.316,7.4,381,1977-08-17
Sweet Bean,あん,14.199,7.4,539,2015-05-30
Lemonade Mouth,Lemonade Mouth,17.945,7.4,1042,2011-04-15
The Secret of NIMH,The Secret of NIMH,20.506,7.438,818,1982-06-17
The Last Duel,The Last Duel,41.776,7.439,3336,2021-10-13
Once Upon a Time... in Hollywood,Once Upon a Time... in Hollywood,61.842,7.4,13373,2019-07-24
The Guernsey Literary & Potato Peel Pie Society,The Guernsey Literary & Potato Peel Pie Society,18.518,7.439,1309,2018-04-19
John Wick,John Wick,55.569,7.439,19113,2014-10-22
All That Jazz,All That Jazz,15.291,7.4,497,1979-12-16
My Darling Clementine,My Darling Clementine,15.302,7.4,417,1946-10-17
Erin Brockovich,Erin Brockovich,34.842,7.4,3155,2000-03-17
All of Us Strangers,All of Us Strangers,31.711,7.436,667,2023-12-22
Justice Society: World War II,Justice Society: World War II,22.81,7.4,550,2021-04-27
Promising Young Woman,Promising Young Woman,29.008,7.438,3199,2020-12-13
Unbroken,Unbroken,24.979,7.4,4080,2014-12-25
The Verdict,The Verdict,16.803,7.4,625,1982-12-08
The Gospel According to Matthew,Il vangelo secondo Matteo,17.621,7.4,352,1965-03-03
Alice,Něco z Alenky,12.355,7.4,306,1988-08-03
Marty,Marty,11.393,7.438,378,1955-04-11
Nebraska,Nebraska,12.309,7.4,1745,2013-09-21
The Lovers on the Bridge,Les Amants du Pont-Neuf,15.656,7.437,311,1991-10-16
Home Alone,Home Alone,7.01,7.437,11154,1990-11-16
Migration,Migration,225.975,7.436,1793,2023-12-06
The Mauritanian,The Mauritanian,20.971,7.4,1088,2021-02-12
18 Presents,18 regali,13.55,7.4,669,2020-01-02
3096 Days,3096 Tage,32.617,7.4,880,2013-02-21
Memories,MEMORIES,24.756,7.4,443,1995-12-23
Scrooge,Scrooge,23.1,7.4,307,1951-11-28
They Call Me Jeeg,Lo chiamavano Jeeg Robot,19.886,7.435,2465,2016-02-25
In Safe Hands,Pupille,10.162,7.4,493,2018-12-05
Mission: Impossible - Fallout,Mission: Impossible - Fallout,70.585,7.4,8152,2018-07-13
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,43.271,7.434,13647,2005-05-17
Lost Illusions,Illusions perdues,18.522,7.4,487,2021-10-20
Predestination,Predestination,49.276,7.4,6384,2014-08-28
Peeping Tom,Peeping Tom,16.378,7.4,787,1960-05-16
Cape Fear,Cape Fear,17.059,7.4,568,1962-04-12
Zelig,Zelig,9.146,7.432,848,1983-07-15
Chaplin,Chaplin,16.296,7.4,1066,1992-12-17
Bāhubali 2: The Conclusion,బాహుబలి 2: ది కన్ క్లూజన్,28.019,7.4,728,2017-04-27
I Want You,Tengo ganas de ti,52.794,7.431,1873,2012-06-22
One Day,One Day,39.932,7.4,4224,2011-03-02
Rise,En corps,12.955,7.4,405,2022-03-30
Nocturnal Animals,Nocturnal Animals,33.547,7.4,7720,2016-11-04
Crimes and Misdemeanors,Crimes and Misdemeanors,13.272,7.4,861,1989-10-13
The Return,Возвращение,10.966,7.43,555,2003-06-25
The Bourne Ultimatum,The Bourne Ultimatum,37.78,7.43,7595,2007-08-03
The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,80.921,7.429,5888,2021-05-25
Stargirl,Stargirl,12.134,7.4,552,2020-03-10
Secretariat,Secretariat,18.304,7.4,588,2010-08-20
Star Trek,Star Trek,44.854,7.429,9808,2009-05-06
The Idea of You,The Idea of You,120.711,7.427,1459,2024-05-02
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,59.979,7.4,17247,2013-11-15
A Christmas Carol,A Christmas Carol,33.807,7.4,352,1984-10-09
Trinity Is Still My Name,...continuavano a chiamarlo Trinità,24.358,7.428,892,1971-10-21
The Motorcycle Diaries,Diarios de motocicleta,18.427,7.4,1265,2004-02-06
Delusions of Grandeur,La Folie des grandeurs,17.867,7.4,672,1971-12-08
The Great Silence,Il grande silenzio,15.549,7.4,386,1968-11-22
The Man Without a Past,Mies vailla menneisyyttä,9.991,7.427,358,2002-03-01
Duel,Duel,18.052,7.4,1839,1971-11-13
I Can Quit Whenever I Want,Smetto quando voglio,12.461,7.426,1781,2014-02-06
American Sniper,American Sniper,68.677,7.4,12761,2014-12-25
Contact,Contact,42.382,7.4,4424,1997-07-11
Un Chien Andalou,Un chien andalou,14.12,7.426,1284,1929-06-05
The Farewell,The Farewell,21.887,7.426,1385,2019-07-12
Richard Jewell,Richard Jewell,22.942,7.425,2478,2019-12-13
The Life of David Gale,The Life of David Gale,23.548,7.425,2004,2003-02-21
Glory Road,Glory Road,16.097,7.4,717,2006-01-13
Scream,Scream,87.784,7.4,6968,1996-12-20
Spider-Man: Far From Home,Spider-Man: Far From Home,94.007,7.424,15601,2019-06-28
Only the Brave,Only the Brave,31.058,7.424,1572,2017-09-22
Doctor Strange,Doctor Strange,77.818,7.4,22039,2016-10-25
The Magdalene Sisters,The Magdalene Sisters,16.14,7.4,397,2002-08-30
"Crouching Tiger, Hidden Dragon",卧虎藏龍,24.718,7.4,3180,2000-07-06
This Is Spinal Tap,This Is Spinal Tap,16.198,7.423,1400,1984-03-02
Sense and Sensibility,Sense and Sensibility,22.984,7.4,1664,1995-12-13
The Stronghold,BAC Nord,24.679,7.421,1271,2021-08-18
Tekkonkinkreet,鉄コン筋クリート,18.629,7.4,358,2006-10-21
Peaceful Warrior,Peaceful Warrior,18.937,7.4,396,2006-03-30
"Watch Out, We're Mad",...altrimenti ci arrabbiamo!,18.823,7.4,799,1974-03-29
Saw,Saw,58.07,7.4,9176,2004-10-01
Drive My Car,ドライブ・マイ・カー,17.207,7.4,1238,2021-08-18
You're Not You,You're Not You,11.248,7.4,783,2014-10-10
Malena,Malèna,44.955,7.4,2216,2000-03-16
El Angel,El Ángel,12.316,7.4,542,2018-08-09
Big Fish & Begonia,大鱼海棠,18.419,7.4,436,2016-07-08
Little Tickles,Les Chatouilles,14.045,7.4,334,2018-11-14
The Lego Movie,The Lego Movie,47.419,7.4,7790,2014-02-06
Repulsion,Repulsion,14.666,7.4,986,1965-06-01
EverAfter,EverAfter,21.816,7.4,1441,1998-07-31
The Last King of Scotland,The Last King of Scotland,19.337,7.4,2094,2006-01-12
The Hurricane,The Hurricane,18.395,7.4,1366,1999-09-17
Last Year at Marienbad,L'Année dernière à Marienbad,14.482,7.4,481,1961-05-25
Irma la Douce,Irma la Douce,16.61,7.4,408,1963-06-05
The Godfather Part III,The Godfather Part III,71.273,7.4,6167,1990-12-25
The Outlaw Josey Wales,The Outlaw Josey Wales,21.672,7.4,1127,1976-06-30
Sorcerer,Sorcerer,20.056,7.4,534,1977-06-24
The Legend of Drunken Master,醉拳二,27.235,7.4,943,1994-02-03
Enter the Dragon,Enter the Dragon,37.034,7.4,1866,1973-08-17
Frida,Frida,14.742,7.4,2001,2002-08-29
Enemy at the Gates,Enemy at the Gates,31.565,7.4,3574,2001-02-28
The Florida Project,The Florida Project,24.979,7.4,2715,2017-10-06
New World,신세계,15.301,7.4,452,2013-02-21
August Rush,August Rush,30.487,7.4,2661,2007-11-21
The Secret of Kells,The Secret of Kells,17.282,7.4,682,2009-02-09
Love Don't Co$t a Thing,Love Don't Co$t a Thing,42.842,7.414,529,2003-12-12
Love & Basketball,Love & Basketball,14.343,7.414,421,2000-04-21
La Vie en Rose,La Môme,20.507,7.4,1593,2007-02-14
Y Tu Mamá También,Y tu mamá también,38.951,7.4,1490,2001-06-08
Being John Malkovich,Being John Malkovich,26.023,7.4,4318,1999-10-29
Ciao Alberto,Ciao Alberto,18.193,7.4,657,2021-11-11
The Death of Superman,The Death of Superman,24.34,7.4,741,2018-07-24
Like Crazy,La pazza gioia,14.566,7.4,868,2016-05-17
Hour of the Wolf,Vargtimmen,12.129,7.4,490,1968-02-19
The Last Letter from Your Lover,The Last Letter from Your Lover,27.224,7.4,594,2021-07-23
Women on the Verge of a Nervous Breakdown,Mujeres al borde de un ataque de nervios,20.175,7.4,886,1988-03-25
"Batman: The Long Halloween, Part Two","Batman: The Long Halloween, Part Two",22.994,7.4,505,2021-07-26
Creed,Creed,52.618,7.4,7381,2015-11-25
The Fly,The Fly,42.496,7.4,4383,1986-08-15
A Better Tomorrow,英雄本色,13.29,7.4,508,1986-08-02
Jin-Roh: The Wolf Brigade,人狼 JIN-ROH,22.557,7.4,476,1999-11-17
Miss You Already,Miss You Already,14.627,7.4,662,2015-09-12
The Raid,Serbuan Maut,26.427,7.4,3415,2012-03-22
Scooby-Doo! in Where's My Mummy?,Scooby-Doo! in Where's My Mummy?,20.132,7.4,393,2005-05-13
His Girl Friday,His Girl Friday,15.773,7.4,820,1940-01-18
The Long Goodbye,The Long Goodbye,13.172,7.4,622,1973-03-08
Leviathan,Левиафан,11.357,7.4,841,2014-09-24
Memoir of a Murderer,살인자의 기억법,14.769,7.4,302,2017-09-07
Justice League: War,Justice League: War,20.816,7.4,1066,2014-01-21
When Harry Met Sally...,When Harry Met Sally...,37.967,7.4,4064,1989-07-21
Boys Don't Cry,Boys Don't Cry,14.818,7.4,1312,1999-09-02
Greyhound,Greyhound,34.091,7.4,2874,2020-07-09
Then Came You,Then Came You,16.175,7.4,473,2018-12-05
Sullivan's Travels,Sullivan's Travels,13.352,7.4,451,1941-11-30
The Secret Garden,The Secret Garden,23.831,7.4,884,1993-08-13
The Muppet Christmas Carol,The Muppet Christmas Carol,28.069,7.4,955,1992-12-10
An American Werewolf in London,An American Werewolf in London,25.354,7.4,2396,1981-08-21
Joyeux Noel,Joyeux Noël,28.151,7.408,849,2005-11-09
A Quiet Place,A Quiet Place,81.487,7.4,14114,2018-04-03
Red Desert,Il deserto rosso,12.0,7.4,445,1964-09-04
The Lion in Winter,The Lion in Winter,16.122,7.4,339,1968-10-30
The Peanut Butter Falcon,The Peanut Butter Falcon,22.253,7.403,1375,2019-08-09
Sicario,Sicario,55.56,7.4,8516,2015-09-17
Tarzan,Tarzan,60.292,7.4,6710,1999-06-18
Rushmore,Rushmore,16.675,7.403,2461,1998-12-11
The Trial,Le Procès,24.561,7.4,486,1962-12-21
Clerks,Clerks,13.659,7.4,2465,1994-10-19
Life of Pi,Life of Pi,41.182,7.4,12998,2012-11-20
A Little Something Extra,Un p'tit truc en plus,29.852,7.399,459,2024-04-18
American Psycho,American Psycho,59.83,7.4,10941,2000-04-13
The Omen,The Omen,30.14,7.4,2110,1976-06-25
The Mad Adventures of Rabbi Jacob,Les Aventures de Rabbi Jacob,15.075,7.399,966,1973-10-17
Z-O-M-B-I-E-S 3,Z-O-M-B-I-E-S 3,23.352,7.4,389,2022-07-09
The Basketball Diaries,The Basketball Diaries,25.696,7.4,1970,1995-04-21
Waiting for Bojangles,En attendant Bojangles,14.793,7.4,313,2021-10-13
Monster Pets: A Hotel Transylvania Short,Monster Pets: A Hotel Transylvania Short,32.616,7.4,395,2021-04-02
The Mission,The Mission,17.97,7.4,1389,1986-09-24
Cabaret,Cabaret,15.31,7.4,872,1972-02-13
Futurama: Bender's Big Score,Futurama: Bender's Big Score,12.413,7.4,676,2007-11-27
Spellbound,Spellbound,14.966,7.4,876,1945-11-08
Braindead,Braindead,27.189,7.4,1615,1992-08-13
Babylon,Babylon,68.553,7.4,3053,2022-12-22
Selma,Selma,14.316,7.4,2171,2014-12-25
Hedwig and the Angry Inch,Hedwig and the Angry Inch,15.387,7.401,378,2001-07-20
Romeo and Juliet,Romeo and Juliet,25.66,7.4,664,1968-04-02
Inside Man,Inside Man,34.833,7.4,5724,2006-03-17
Pierrot le Fou,Pierrot le fou,15.974,7.397,846,1965-11-05
The Experiment,Das Experiment,16.994,7.4,1072,2001-03-08
South Park: Post COVID: The Return of COVID,South Park: Post COVID: The Return of COVID,15.281,7.4,402,2021-12-16
On the Basis of Sex,On the Basis of Sex,17.621,7.4,1017,2018-12-25
Justice League: Doom,Justice League: Doom,16.621,7.4,852,2012-02-28
The Devil Wears Prada,The Devil Wears Prada,74.311,7.4,11969,2006-06-29
PAW Patrol: The Movie,PAW Patrol: The Movie,53.422,7.4,1208,2021-08-09
Happy as Lazzaro,Lazzaro felice,14.792,7.394,687,2018-05-31
Mr. Church,Mr. Church,9.941,7.4,461,2016-09-16
Naruto Shippuden the Movie,劇場版 NARUTO -ナルト- 疾風伝,51.287,7.4,976,2007-08-04
Barbie and the Diamond Castle,Barbie and the Diamond Castle,31.401,7.394,824,2008-09-03
Taken,Taken,100.237,7.394,11145,2008-02-18
As Good as It Gets,As Good as It Gets,28.912,7.4,3733,1997-12-19
Nowhere,Nowhere,59.497,7.393,1338,2023-09-29
Pain and Glory,Dolor y gloria,16.923,7.393,1762,2019-03-22
I Am a Hero,アイアムアヒーロー,19.034,7.393,420,2016-04-23
Palm Trees in the Snow,Palmeras en la nieve,21.263,7.4,526,2015-12-25
Frances Ha,Frances Ha,14.903,7.4,1592,2013-05-17
Mad Max 2,Mad Max 2,34.937,7.4,3717,1981-12-24
Shane,Shane,17.987,7.4,588,1953-04-23
Injustice,Injustice,21.767,7.4,771,2021-10-09
Kidnapped,Rapito,19.355,7.4,306,2023-05-25
Waves,Waves,26.343,7.4,677,2019-11-15
Drunken Master,醉拳,27.513,7.4,937,1978-10-05
Once,Once,11.672,7.4,1293,2007-03-23
Grease,Grease,53.822,7.4,7167,1978-07-07
The One and Only Ivan,The One and Only Ivan,24.619,7.4,579,2020-08-21
Shine,Shine,12.747,7.391,638,1996-08-15
My Girl,My Girl,25.385,7.392,2063,1991-11-27
Stuck in Love,Stuck in Love,23.554,7.4,1902,2013-06-14
The Purple Rose of Cairo,The Purple Rose of Cairo,15.87,7.4,1035,1985-03-01
Asterix & Obelix: Mission Cleopatra,Astérix & Obélix Mission Cléopâtre,35.0,7.4,3486,2002-01-30
Mon Oncle,Mon oncle,12.536,7.4,538,1958-05-10
Lost in Translation,Lost in Translation,38.745,7.4,7290,2003-09-18
Mudbound,Mudbound,12.263,7.4,1210,2017-11-16
Law Abiding Citizen,Law Abiding Citizen,42.418,7.389,5106,2009-10-15
Interstate 60,Interstate 60,18.965,7.391,673,2002-04-13
Through the Fire,Sauver ou périr,13.33,7.4,668,2018-11-28
Enola Holmes 2,Enola Holmes 2,30.741,7.386,1403,2022-11-30
About Fate,About Fate,13.526,7.4,389,2022-09-08
The Fighter,The Fighter,21.527,7.4,4310,2010-12-10
"Maggie Simpson in ""Playdate with Destiny""","Maggie Simpson in ""Playdate with Destiny""",13.753,7.4,350,2020-02-29
American Me,American Me,22.17,7.386,351,1992-03-13
Black Hawk Down,Black Hawk Down,43.219,7.386,5690,2001-12-28
I Can Quit Whenever I Want 3: Ad Honorem,Smetto quando voglio - Ad honorem,6.727,7.385,958,2017-11-30
Falling Down,Falling Down,32.615,7.385,3621,1993-02-26
Neon Genesis Evangelion: Death and Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,23.229,7.4,433,1997-03-15
Zulu,Zulu,17.44,7.4,507,1964-01-22
Johnny Guitar,Johnny Guitar,14.176,7.4,410,1954-05-26
Scooby-Doo! and the Witch's Ghost,Scooby-Doo! and the Witch's Ghost,38.005,7.4,430,1999-10-05
Ghost in the Shell 2.0,GHOST IN THE SHELL／攻殻機動隊2.0,28.672,7.4,400,2008-07-12
The Last of the Mohicans,The Last of the Mohicans,29.677,7.4,3051,1992-08-26
The Hunt for Red October,The Hunt for Red October,37.158,7.4,3239,1990-03-02
Burning,버닝,22.618,7.4,1581,2018-05-17
Boy,Boy,11.641,7.4,406,2010-03-25
Interview with the Vampire,Interview with the Vampire,39.161,7.383,5811,1994-11-11
Black Panther,Black Panther,79.364,7.382,22100,2018-02-13
Legends of the Fall,Legends of the Fall,35.773,7.382,2548,1994-12-23
The Remains of the Day,The Remains of the Day,22.806,7.382,1301,1993-11-05
Through My Window,A través de mi ventana,82.861,7.381,3101,2022-02-04
Moonlight,Moonlight,40.297,7.4,6992,2016-10-21
Only Yesterday,おもひでぽろぽろ,24.687,7.4,1085,1991-07-20
Rudolph the Red-Nosed Reindeer,Rudolph the Red-Nosed Reindeer,34.813,7.4,567,1964-12-06
Beetlejuice,Beetlejuice,101.407,7.381,7493,1988-03-30
Once Were Warriors,Once Were Warriors,16.686,7.4,421,1994-09-02
Summer of 85,Été 85,21.53,7.4,817,2020-07-14
Ghostbusters: Afterlife,Ghostbusters: Afterlife,46.591,7.38,4577,2021-11-18
Scooby-Doo! WrestleMania Mystery,Scooby-Doo! WrestleMania Mystery,15.376,7.4,313,2014-03-11
Submarine,Submarine,12.568,7.381,1435,2011-03-18
The Best of Enemies,The Best of Enemies,14.751,7.4,417,2019-04-05
Caro diario,Caro diario,10.701,7.379,465,1993-10-12
The Man in the Moon,The Man in the Moon,24.463,7.4,301,1991-09-30
The Sucker,Le Corniaud,16.539,7.378,644,1965-03-24
A Time to Kill,A Time to Kill,33.998,7.4,2494,1996-07-24
Office Space,Office Space,23.267,7.378,2956,1999-02-19
A Dog's Way Home,A Dog's Way Home,29.927,7.4,1098,2019-01-10
My Sister's Keeper,My Sister's Keeper,18.851,7.4,2078,2009-06-26
The Triplets of Belleville,Les Triplettes de Belleville,19.459,7.4,929,2003-06-11
Ghostland,Ghostland,37.155,7.377,2384,2018-03-14
First They Killed My Father,First They Killed My Father,16.822,7.4,663,2017-02-18
The Way of the Dragon,猛龍過江,29.408,7.376,1121,1972-12-30
If I Stay,If I Stay,20.948,7.375,4157,2014-08-21
Pelé: Birth of a Legend,Pelé: Birth of a Legend,18.254,7.4,1067,2016-05-06
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,45.912,7.375,6926,2011-12-14
The Red Violin,Le Violon rouge,19.879,7.4,409,1998-09-10
Teen Titans: The Judas Contract,Teen Titans: The Judas Contract,24.655,7.4,691,2017-03-31
Sissi,Sissi,19.211,7.4,467,1955-12-22
Ride On,龙马精神,44.221,7.4,323,2023-04-07
The Collini Case,Der Fall Collini,13.756,7.4,383,2019-04-18
No Time to Die,No Time to Die,82.919,7.4,6222,2021-09-29
The Piano,The Piano,22.798,7.4,1471,1993-05-18
Bad Education,La mala educación,17.866,7.4,946,2004-03-19
Superman II: The Richard Donner Cut,Superman II: The Richard Donner Cut,24.895,7.4,305,2006-11-02
I Can Quit Whenever I Want 2: Masterclass,Smetto quando voglio - Masterclass,9.728,7.372,1210,2017-02-02
Serenity,Serenity,33.721,7.372,3475,2005-09-25
La Chimera,La chimera,23.837,7.4,369,2023-10-12
Those Happy Days,Nos jours heureux,11.049,7.371,1025,2006-06-28
Lifeboat,Lifeboat,13.509,7.4,426,1944-01-28
Miracle on 34th Street,Miracle on 34th Street,24.966,7.4,721,1947-06-04
An Affair to Remember,An Affair to Remember,10.889,7.4,450,1957-07-11
The Boss Baby: Family Business,The Boss Baby: Family Business,67.154,7.37,2516,2021-07-01
Frantz,Frantz,12.811,7.4,683,2016-09-07
The Social Network,The Social Network,59.199,7.4,12008,2010-10-01
2 Hearts,2 Hearts,21.105,7.4,572,2020-10-16
La Belle Époque,La Belle Époque,15.165,7.4,995,2019-11-06
Turning Red,Turning Red,89.355,7.4,5202,2022-03-10
Tucker and Dale vs. Evil,Tucker and Dale vs. Evil,26.561,7.4,2726,2010-01-22
The Wind That Shakes the Barley,The Wind That Shakes the Barley,16.533,7.4,799,2006-06-23
Once in a Lifetime,Les Héritiers,8.338,7.368,315,2014-12-03
Fruitvale Station,Fruitvale Station,16.225,7.4,1282,2013-07-26
Blow Out,Blow Out,15.945,7.4,1438,1981-07-24
The Umbrellas of Cherbourg,Les Parapluies de Cherbourg,17.217,7.4,760,1964-02-19
Blow,Blow,34.946,7.4,4246,2001-04-04
Resident Evil: Death Island,バイオハザード：デスアイランド,46.484,7.4,974,2023-06-22
Descendants 2,Descendants 2,41.44,7.366,1649,2017-07-21
The Great Gatsby,The Great Gatsby,49.552,7.4,12166,2013-05-09
The Woman in the Window,The Woman in the Window,17.936,7.4,335,1944-10-25
Belle de Jour,Belle de jour,24.032,7.4,879,1967-05-24
Jungle Cruise,Jungle Cruise,44.957,7.4,5650,2021-07-28
Okja,Okja,23.136,7.4,4227,2017-06-28
Twin Peaks: Fire Walk with Me,Twin Peaks: Fire Walk with Me,25.587,7.4,1892,1992-06-03
Southpaw,Southpaw,49.852,7.364,5431,2015-03-24
Rise of the Guardians,Rise of the Guardians,66.516,7.4,6649,2012-11-21
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,120.067,7.4,15861,2006-07-06
The In Between,The In Between,28.329,7.367,708,2022-02-11
When Evil Lurks,Cuando acecha la maldad,48.176,7.363,979,2023-10-05
