title,original_title,popularity,vote_average,vote_count,release_date
The Count of Monte-Cristo,Le Comte de Monte-Cristo,840.751,8.3,816,2024-06-28
Clouds,Clouds,15.511,8.3,1002,2020-10-09
We All Loved Each Other So Much,C'eravamo tanto amati,12.313,8.261,551,1974-12-21
The Lion King,The Lion King,135.996,8.3,18225,1994-06-24
Oldboy,올드보이,51.001,8.3,8636,2003-11-21
Come and See,Иди и смотри,26.013,8.3,1479,1985-10-17
Life in a Year,Life in a Year,35.364,8.3,1872,2020-11-27
Five Feet Apart,Five Feet Apart,45.696,8.251,5584,2019-03-14
Avengers: Endgame,Avengers: Endgame,115.37,8.2,25576,2019-04-24
Evangelion: 3.0+1.0 Thrice Upon a Time,シン・エヴァンゲリオン劇場版:||,31.704,8.2,807,2021-03-08
Avengers: Infinity War,Avengers: Infinity War,202.72,8.243,29683,2018-04-25
Klaus,Klaus,39.002,8.2,3983,2019-11-08
Green Book,Green Book,44.78,8.2,11533,2018-11-16
Rascal Does Not Dream of a Dreaming Girl,青春ブタ野郎はゆめみる少女の夢を見ない,21.778,8.2,521,2019-06-15
Mommy,Mommy,19.44,8.2,2703,2014-09-19
Wolf Children,おおかみこどもの雨と雪,26.494,8.2,2275,2012-07-21
I Want to Eat Your Pancreas,君の膵臓をたべたい,33.222,8.2,1542,2018-09-01
Wolfwalkers,Wolfwalkers,24.504,8.2,1183,2020-10-26
Il Sorpasso,Il sorpasso,16.166,8.2,739,1962-12-05
Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,154.283,8.2,7725,2022-12-07
Justice League Dark: Apokolips War,Justice League Dark: Apokolips War,31.274,8.2,1450,2020-05-05
Inglourious Basterds,Inglourious Basterds,75.715,8.2,22174,2009-08-02
The Matrix,The Matrix,86.975,8.2,25595,1999-03-31
The Handmaiden,아가씨,73.66,8.2,3724,2016-06-01
Gladiator,Gladiator,486.893,8.2,18507,2000-05-04
Saving Private Ryan,Saving Private Ryan,65.785,8.216,15777,1998-07-24
